video	frame	outline_conf	diameter	eyelids	major_axis	minor_axis
Braley_122_478_829	Braley_122_478_829_0041_face	0.9090909361839294	31	0.0	31	13
Braley_122_478_829	Braley_122_478_829_0042_face	0.7222222089767456	41	0.0	41	29
Braley_122_478_829	Braley_122_478_829_0043_face	0.7272727489471436	34	0.0	34	24
Braley_122_478_829	Braley_122_478_829_0044_face	1.0	16	0.0	16	14
Braley_122_478_829	Braley_122_478_829_0045_face	0.6060606241226196	29	0.0	29	17
Braley_122_478_829	Braley_122_478_829_0046_face	1.0	17	0.0	17	15
Braley_122_478_829	Braley_122_478_829_0047_face	0.5588235259056091	26	0.0	26	17
Braley_122_478_829	Braley_122_478_829_0048_face	0.939393937587738	16	0.0	16	13
Braley_122_478_829	Braley_122_478_829_0049_face	0.8529411554336548	36	0.0	36	16
Braley_122_478_829	Braley_122_478_829_0050_face	0.90625	16	0.0	16	13
Braley_122_478_829	Braley_122_478_829_0051_face	0.6764705777168274	19	0.0	19	17
Braley_122_478_829	Braley_122_478_829_0052_face	1.0	17	0.0	17	14
Braley_122_478_829	Braley_122_478_829_0053_face	0.9696969985961914	18	0.0	18	14
Braley_122_478_829	Braley_122_478_829_0054_face	0.8235294222831726	18	0.0	18	16
Braley_122_478_829	Braley_122_478_829_0055_face	0.8484848737716675	18	0.0	18	16
Braley_122_478_829	Braley_122_478_829_0056_face	1.0	33	0.0	33	14
Braley_122_478_829	Braley_122_478_829_0057_face	0.8484848737716675	19	0.0	19	11
Braley_122_478_829	Braley_122_478_829_0058_face	0.8181818127632141	19	0.0	19	15
Braley_122_478_829	Braley_122_478_829_0059_face	0.7878788113594055	18	0.0	18	13
Braley_122_478_829	Braley_122_478_829_0060_face	0.7941176295280457	19	0.0	19	17
Braley_122_478_829	Braley_122_478_829_0061_face	0.6666666865348816	43	0.0	43	24
Braley_122_478_829	Braley_122_478_829_0062_face	0.7272727489471436	18	0.0	18	13
Braley_122_478_829	Braley_122_478_829_0063_face	0.939393937587738	35	0.0	35	13
Braley_122_478_829	Braley_122_478_829_0064_face	0.7941176295280457	31	0.0	31	13
Braley_122_478_829	Braley_122_478_829_0065_face	0.8787878751754761	35	0.0	35	13
