Timestamp,loc_x,loc_y,Size
2025-05-04-12:11:28, 0.07760416666666667, 0.2037037037037037, 91
2025-05-04-12:11:35, 0.8270833333333333, 0.30277777777777776, 34
2025-05-04-12:11:42, 0.2557291666666667, 0.8703703703703703, 69
2025-05-04-12:11:49, 0.28125, 0.8018518518518518, 92
2025-05-04-12:11:56, 0.6411458333333333, 0.6981481481481482, 50
2025-05-04-12:12:03, 0.5375, 0.4027777777777778, 99
2025-05-04-13:12:48, 0.20833333333333334, 0.4111111111111111, 71
2025-05-04-13:12:55, 0.6520833333333333, 0.43333333333333335, 51
2025-05-04-13:54:43, 0.840625, 0.20555555555555555, 61
2025-05-04-13:54:50, 0.040625, 0.07777777777777778, 91
2025-05-04-13:54:57, 0.34427083333333336, 0.5361111111111111, 85
2025-05-04-13:55:03, 0.5864583333333333, 0.9333333333333333, 60
2025-05-04-13:55:32, 0.4864583333333333, 0.4305555555555556, 51
2025-05-04-13:56:00, 0.5291666666666667, 0.7703703703703704, 74
2025-05-04-13:56:28, 0.6859375, 0.9694444444444444, 14
2025-05-04-13:56:56, 0.7244791666666667, 0.925, 68
2025-05-04-13:57:25, 0.5630208333333333, 0.14537037037037037, 54
2025-05-04-13:57:31, 0.7484375, 0.22777777777777777, 86
2025-05-04-13:57:38, 0.8182291666666667, 0.44722222222222224, 26
2025-05-04-13:57:45, 0.5234375, 0.37222222222222223, 98
2025-05-04-13:57:52, 0.058333333333333334, 0.0, 35
2025-05-04-13:57:59, 0.24895833333333334, 0.5398148148148149, 54
2025-05-04-13:58:28, 0.746875, 0.6148148148148148, 13
2025-05-04-13:58:56, 0.9057291666666667, 0.5305555555555556, 24
2025-05-04-13:59:03, 0.35052083333333334, 0.15648148148148147, 5
2025-05-04-13:59:30, 0.19791666666666666, 0.8212962962962963, 71
2025-05-04-13:59:59, 0.6, 0.8157407407407408, 95
2025-05-04-14:00:27, 0.9010416666666666, 0.8175925925925925, 7
2025-05-04-14:00:34, 0.8427083333333333, 0.6888888888888889, 25
2025-05-04-14:00:41, 0.321875, 0.8805555555555555, 54
2025-05-04-14:01:09, 0.8411458333333334, 0.6953703703703704, 59
2025-05-04-14:01:37, 0.7760416666666666, 0.2824074074074074, 85
2025-05-04-14:02:05, 0.16927083333333334, 0.8240740740740741, 86
2025-05-04-14:02:34, 0.23385416666666667, 0.5268518518518519, 100
2025-05-04-14:02:41, 0.3078125, 0.6222222222222222, 12
2025-05-04-14:02:48, 0.746875, 0.5342592592592592, 37
